source_split,seed,backbone,source_hospital,target_hospital,metric,status,n,draws,estimate,ci_lower,ci_upper,standard_error,confidence,cluster_columns,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit,setting,population
val,11,resnet50,1,0,hcs,complete,29940,2000,-0.1027143626599111,-0.1437077371850071,-0.0579788548680076,0.0224576630601378,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,1,0,hce,complete,29940,2000,0.130783661030458,-0.0976251947345375,0.3490393201990968,0.1175551407025553,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,1,3,hcs,complete,29787,2000,-0.0638325751741151,-0.0930427222891179,-0.0191899582007946,0.0191417014048243,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,1,3,hce,complete,29787,2000,0.1378412830432925,-0.1666234560867103,0.400859362517424,0.1562210778488971,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,1,4,hcs,complete,29919,2000,-0.1211704549676189,-0.2049041020744835,-0.0406435085498534,0.0435868965688948,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,1,4,hce,complete,29919,2000,0.0271983340496269,-0.1433299774446673,0.222645621941321,0.0950582174856508,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,1,0,hcs,complete,29940,2000,-0.1002593230169302,-0.1524404885564475,-0.049174141747097,0.0262012956158486,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,1,0,hce,complete,29940,2000,0.0904188422496402,-0.0869907114344053,0.2493834945070392,0.0890299048319005,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,1,3,hcs,complete,29787,2000,-0.0575208759670737,-0.0798456569051518,-0.0274088090778741,0.012839261717193,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,1,3,hce,complete,29787,2000,0.1411894829980317,-0.1164707448221318,0.3694447754553533,0.1338996351113285,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
